be1;1000;Brussel;Belgium
be2;1000;Bruxelles;Belgium
be4;1005;Brusselse Hoofdstedelijke Raad;Belgium
be5;1005;Conseil Region Bruxelles-Capitale;Belgium
be6;1005;Ver.Verg.Gemeensch.Gemeensch.Comm.;Belgium
be7;1006;Raad Vlaamse Gemeenschapscommissie;Belgium
be8;1007;Ass. Commiss. Communau. française;Belgium
be9;1008;Chambre des Représentants;Belgium
be10;1008;Kamer van Volksvertegenwoordigers;Belgium
be11;1009;Belgische Senaat;Belgium
be12;1009;Senat de Belgique;Belgium
be13;1010;Cité Administrative de l'Etat;Belgium
be14;1010;Rijksadministratief Centrum;Belgium
be15;1011;Vlaamse Raad - Vlaams Parlement;Belgium
be16;1012;Parlement de la Communauté française;Belgium
be17;1020;Brussel (Laken);Belgium
be18;1020;Bruxelles (Laeken);Belgium
be19;1020;Laeken (Bruxelles);Belgium
be20;1020;Laken (Brussel);Belgium
be21;1030;Brussel (Schaarbeek);Belgium
be22;1030;Bruxelles (Schaerbeek);Belgium
be23;1030;Schaarbeek;Belgium
be24;1030;Schaerbeek;Belgium
be25;1031;Christelijke Sociale Organisaties;Belgium
be26;1031;Organisations Sociales Chrétiennes;Belgium
be27;1040;Brussel (Etterbeek);Belgium
be28;1040;Bruxelles (Etterbeek);Belgium
be29;1040;Etterbeek;Belgium
be30;1041;International Press Center;Belgium
be31;1043;VRT;Belgium
be32;1044;RTBF;Belgium
be33;1045;D.I.V.;Belgium
be34;1047;Europees Parlement;Belgium
be35;1047;Parlement Européen;Belgium
be36;1048;E.U.-Raad;Belgium
be37;1048;U.E.-Conseil;Belgium
be38;1049;E.U.-Commissie;Belgium
be39;1049;U.E.-Commission;Belgium
be40;1050;Brussel (Elsene);Belgium
be41;1050;Bruxelles (Ixelles);Belgium
be42;1050;Elsene;Belgium
be43;1050;Ixelles;Belgium
be44;1060;Brussel (Sint-Gillis);Belgium
be45;1060;Bruxelles (Saint-Gilles);Belgium
be46;1060;Saint-Gilles;Belgium
be47;1060;Sint-Gillis;Belgium
be48;1070;Anderlecht;Belgium
be49;1070;Brussel (Anderlecht);Belgium
be50;1070;Bruxelles (Anderlecht);Belgium
be51;1080;Brussel (Sint-Jans-Molenbeek);Belgium
be52;1080;Bruxelles (Molenbeek-Saint-Jean);Belgium
be53;1080;Molenbeek-Saint-Jean;Belgium
be54;1080;Sint-Jans-Molenbeek;Belgium
be55;1081;Brussel (Koekelberg);Belgium
be56;1081;Bruxelles (Koekelberg);Belgium
be57;1081;Koekelberg;Belgium
be58;1082;Berchem-Sainte-Agathe;Belgium
be59;1082;Brussel (Sint-Agatha-Berchem);Belgium
be60;1082;Bruxelles (Berchem-Sainte-Agathe);Belgium
be61;1082;Sint-Agatha-Berchem;Belgium
be62;1083;Brussel (Ganshoren);Belgium
be63;1083;Bruxelles (Ganshoren);Belgium
be64;1083;Ganshoren;Belgium
be65;1090;Brussel (Jette);Belgium
be66;1090;Bruxelles (Jette);Belgium
be67;1090;Jette;Belgium
be68;1100;Postcheque;Belgium
be69;1105;SOC;Belgium
be70;1110;NAVO - NATO;Belgium
be71;1110;OTAN - NATO;Belgium
be72;1120;Brussel (Neder-Over-Heembeek);Belgium
be73;1120;Bruxelles (Neder-Over-Heembeek);Belgium
be74;1120;Neder-Over-Heembeek (Bru.);Belgium
be75;1130;Brussel (Haren);Belgium
be76;1130;Bruxelles (Haeren);Belgium
be77;1130;Haren (Bruxelles);Belgium
be78;1130;Haren (Brussel);Belgium
be79;1140;Brussel (Evere);Belgium
be80;1140;Bruxelles (Evere);Belgium
be81;1140;Evere;Belgium
be82;1150;Brussel (Sint-Pieters-Woluwe);Belgium
be83;1150;Bruxelles (Woluwe-Saint-Pierre);Belgium
be84;1150;Sint-Pieters-Woluwe;Belgium
be85;1150;Woluwe-Saint-Pierre;Belgium
be86;1160;Auderghem;Belgium
be87;1160;Brussel (Oudergem);Belgium
be88;1160;Bruxelles (Auderghem);Belgium
be89;1160;Oudergem;Belgium
be90;1170;Brussel (Watermaal-Bosvoorde);Belgium
be91;1170;Bruxelles (Watermael-Boitsfort);Belgium
be92;1170;Watermaal-Bosvoorde;Belgium
be93;1170;Watermael-Boitsfort;Belgium
be94;1180;Brussel (Ukkel);Belgium
be95;1180;Bruxelles (Uccle);Belgium
be96;1180;Uccle;Belgium
be97;1180;Ukkel;Belgium
be98;1190;Brussel (Vorst);Belgium
be99;1190;Bruxelles (Forest);Belgium
be100;1190;Forest;Belgium
be101;1190;Vorst;Belgium
be102;1200;Brussel (Sint-Lambrechts-Woluwe);Belgium
be103;1200;Bruxelles (Woluwe-Saint-Lambert);Belgium
be104;1200;Sint-Lambrechts-Woluwe;Belgium
be105;1200;Woluwe-Saint-Lambert;Belgium
be106;1201;R.T.L. - T.V.I.;Belgium
be107;1210;Brussel (Sint-Joost-ten-Node);Belgium
be108;1210;Bruxelles (Saint-Josse-ten-Noode);Belgium
be109;1210;Saint-Josse-ten-Noode;Belgium
be110;1210;Sint-Joost-ten-Node;Belgium
be111;1212;FOD Mobiliteit;Belgium
be112;1212;SPF Mobilité;Belgium
be113;1300;Limal;Belgium
be114;1300;Wavre;Belgium
be115;1301;Bierges;Belgium
be116;1310;La Hulpe;Belgium
be117;1315;Glimes;Belgium
be118;1315;Incourt;Belgium
be119;1315;Opprebais;Belgium
be120;1315;Piètrebais;Belgium
be121;1315;Roux-Miroir;Belgium
be122;1320;Beauvechain;Belgium
be123;1320;Hamme-Mille;Belgium
be124;1320;l'Ecluse;Belgium
be125;1320;Nodebais;Belgium
be126;1320;Tourinnes-la-Grosse;Belgium
be127;1325;Bonlez;Belgium
be128;1325;Chaumont-Gistoux;Belgium
be129;1325;Corroy-le-Grand;Belgium
be130;1325;Dion-Valmont;Belgium
be131;1325;Longueville;Belgium
be132;1330;Rixensart;Belgium
be133;1331;Rosières;Belgium
be134;1332;Genval;Belgium
be135;1340;Ottignies;Belgium
be136;1340;Ottignies-Louvain-la-Neuve;Belgium
be137;1341;Céroux-Mousty;Belgium
be138;1342;Limelette;Belgium
be139;1348;Louvain-la-Neuve;Belgium
be140;1350;Enines;Belgium
be141;1350;Folx-les-Caves;Belgium
be142;1350;Jandrain-Jandrenouille;Belgium
be143;1350;Jauche;Belgium
be144;1350;Marilles;Belgium
be145;1350;Noduwez;Belgium
be146;1350;Orp-Jauche;Belgium
be147;1350;Orp-le-Grand;Belgium
be148;1357;Hélécine;Belgium
be149;1357;Linsmeau;Belgium
be150;1357;Neerheylissem;Belgium
be151;1357;Opheylissem;Belgium
be152;1360;Malèves-Sainte-Marie-Wastines;Belgium
be153;1360;Orbais;Belgium
be154;1360;Perwez;Belgium
be155;1360;Thorembais-les-Béguines;Belgium
be156;1360;Thorembais-Saint-Trond;Belgium
be157;1367;Autre-Eglise;Belgium
be158;1367;Bomal (Bt.);Belgium
be159;1367;Geest-Gérompont-Petit-Rosière;Belgium
be160;1367;Gérompont;Belgium
be161;1367;Grand-Rosière-Hottomont;Belgium
be162;1367;Huppaye;Belgium
be163;1367;Mont-Saint-André;Belgium
be164;1367;Ramillies;Belgium
be165;1370;Dongelberg;Belgium
be166;1370;Jauchelette;Belgium
be167;1370;Jodoigne;Belgium
be168;1370;Jodoigne-Souveraine;Belgium
be169;1370;Lathuy;Belgium
be170;1370;Mélin;Belgium
be171;1370;Piétrain;Belgium
be172;1370;Saint-Jean-Geest;Belgium
be173;1370;Saint-Remy-Geest;Belgium
be174;1370;Zétrud-Lumay;Belgium
be175;1380;Couture-Saint-Germain;Belgium
be176;1380;Lasne;Belgium
be177;1380;Lasne-Chapelle-Saint-Lambert;Belgium
be178;1380;Maransart;Belgium
be179;1380;Ohain;Belgium
be180;1380;Plancenoit;Belgium
be181;1390;Archennes;Belgium
be182;1390;Biez;Belgium
be183;1390;Bossut-Gottechain;Belgium
be184;1390;Grez-Doiceau;Belgium
be185;1390;Nethen;Belgium
be186;1400;Monstreux;Belgium
be187;1400;Nivelles;Belgium
be188;1401;Baulers;Belgium
be189;1402;Thines;Belgium
be190;1404;Bornival;Belgium
be191;1410;Waterloo;Belgium
be192;1414;Promo-Control;Belgium
be193;1420;Braine-l'Alleud;Belgium
be194;1421;Ophain-Bois-Seigneur-Isaac;Belgium
be195;1428;Lillois-Witterzée;Belgium
be196;1430;Bierghes;Belgium
be197;1430;Quenast;Belgium
be198;1430;Rebecq;Belgium
be199;1430;Rebecq-Rognon;Belgium
be200;1435;Corbais;Belgium
be201;1435;Hévillers;Belgium
be202;1435;Mont-Saint-Guibert;Belgium
be203;1440;Braine-le-Château;Belgium
be204;1440;Wauthier-Braine;Belgium
be205;1450;Chastre;Belgium
be206;1450;Chastre-Villeroux-Blanmont;Belgium
be207;1450;Cortil-Noirmont;Belgium
be208;1450;Gentinnes;Belgium
be209;1450;Saint-Géry;Belgium
be210;1457;Nil-Saint-Vincent-Saint-Martin;Belgium
be211;1457;Tourinnes-Saint-Lambert;Belgium
be212;1457;Walhain;Belgium
be213;1457;Walhain-Saint-Paul;Belgium
be214;1460;Ittre;Belgium
be215;1460;Virginal-Samme;Belgium
be216;1461;Haut-Ittre;Belgium
be217;1470;Baisy-Thy;Belgium
be218;1470;Bousval;Belgium
be219;1470;Genappe;Belgium
be220;1471;Loupoigne;Belgium
be221;1472;Vieux-Genappe;Belgium
be222;1473;Glabais;Belgium
be223;1474;Ways;Belgium
be224;1476;Houtain-le-Val;Belgium
be225;1480;Clabecq;Belgium
be226;1480;Oisquercq;Belgium
be227;1480;Saintes;Belgium
be228;1480;Tubize;Belgium
be229;1490;Court-Saint-Etienne;Belgium
be230;1495;Marbais (Bt.);Belgium
be231;1495;Mellery;Belgium
be232;1495;Sart-Dames-Avelines;Belgium
be233;1495;Tilly;Belgium
be234;1495;Villers-la-Ville;Belgium
be235;1500;Halle;Belgium
be236;1501;Buizingen;Belgium
be237;1502;Lembeek;Belgium
be238;1540;Herfelingen;Belgium
be239;1540;Herne;Belgium
be240;1541;Sint-Pieters-Kapelle (Bt.);Belgium
be241;1547;Bever;Belgium
be242;1547;Bievene;Belgium
be243;1560;Hoeilaart;Belgium
be244;1570;Galmaarden;Belgium
be245;1570;Tollembeek;Belgium
be246;1570;Vollezele;Belgium
be247;1600;Oudenaken;Belgium
be248;1600;Sint-Laureins-Berchem;Belgium
be249;1600;Sint-Pieters-Leeuw;Belgium
be250;1601;Ruisbroek (Bt.);Belgium
be251;1602;Vlezenbeek;Belgium
be252;1620;Drogenbos;Belgium
be253;1630;Linkebeek;Belgium
be254;1640;Rhode-Saint-Genese;Belgium
be255;1640;Sint-Genesius-Rode;Belgium
be256;1650;Beersel;Belgium
be257;1651;Lot;Belgium
be258;1652;Alsemberg;Belgium
be259;1653;Dworp;Belgium
be260;1654;Huizingen;Belgium
be261;1670;Bogaarden;Belgium
be262;1670;Heikruis;Belgium
be263;1670;Pepingen;Belgium
be264;1671;Elingen;Belgium
be265;1673;Beert;Belgium
be266;1674;Bellingen;Belgium
be267;1700;Dilbeek;Belgium
be268;1700;Sint-Martens-Bodegem;Belgium
be269;1700;Sint-Ulriks-Kapelle;Belgium
be270;1701;Itterbeek;Belgium
be271;1702;Groot-Bijgaarden;Belgium
be272;1703;Schepdaal;Belgium
be273;1730;Asse;Belgium
be274;1730;Bekkerzeel;Belgium
be275;1730;Kobbegem;Belgium
be276;1730;Mollem;Belgium
be277;1731;Relegem;Belgium
be278;1731;Zellik;Belgium
be279;1740;Ternat;Belgium
be280;1741;Wambeek;Belgium
be281;1742;Sint-Katherina-Lombeek;Belgium
be282;1745;Mazenzele;Belgium
be283;1745;Opwijk;Belgium
be284;1750;Gaasbeek;Belgium
be285;1750;Lennik;Belgium
be286;1750;Sint-Kwintens-Lennik;Belgium
be287;1750;Sint-Martens-Lennik;Belgium
be288;1755;Gooik;Belgium
be289;1755;Kester;Belgium
be290;1755;Leerbeek;Belgium
be291;1755;Oetingen;Belgium
be292;1760;Onze-Lieve-Vrouw-Lombeek;Belgium
be293;1760;Pamel;Belgium
be294;1760;Roosdaal;Belgium
be295;1760;Strijtem;Belgium
be296;1761;Borchtlombeek;Belgium
be297;1770;Liedekerke;Belgium
be298;1780;Wemmel;Belgium
be299;1785;Brussegem;Belgium
be300;1785;Hamme (Bt.);Belgium
be301;1785;Merchtem;Belgium
be302;1790;Affligem;Belgium
be303;1790;Essene;Belgium
be304;1790;Hekelgem;Belgium
be305;1790;Teralfene;Belgium
be306;1800;Peutie;Belgium
be307;1800;Vilvoorde;Belgium
be308;1804;Cargovil;Belgium
be309;1818;VTM;Belgium
be310;1820;Melsbroek;Belgium
be311;1820;Perk;Belgium
be312;1820;Steenokkerzeel;Belgium
be313;1830;Machelen (Bt.);Belgium
be314;1831;Diegem;Belgium
be315;1840;Londerzeel;Belgium
be316;1840;Malderen;Belgium
be317;1840;Steenhuffel;Belgium
be318;1850;Grimbergen;Belgium
be319;1851;Humbeek;Belgium
be320;1852;Beigem;Belgium
be321;1853;Strombeek-Bever;Belgium
be322;1860;Meise;Belgium
be323;1861;Wolvertem;Belgium
be324;1880;Kapelle-op-den-Bos;Belgium
be325;1880;Nieuwenrode;Belgium
be326;1880;Ramsdonk;Belgium
be327;1910;Berg (Bt.);Belgium
be328;1910;Buken;Belgium
be329;1910;Kampenhout;Belgium
be330;1910;Nederokkerzeel;Belgium
be331;1930;Nossegem;Belgium
be332;1930;Zaventem;Belgium
be333;1931;Brucargo;Belgium
be334;1932;Sint-Stevens-Woluwe;Belgium
be335;1933;Sterrebeek;Belgium
be336;1934;Brussel X-Luchthaven Remailing;Belgium
be337;1934;Bruxelles X-Aeroport Remailing;Belgium
be338;1950;Kraainem;Belgium
be339;1970;Wezembeek-Oppem;Belgium
be340;1980;Eppegem;Belgium
be341;1980;Zemst;Belgium
be342;1981;Hofstade (Bt.);Belgium
be343;1982;Elewijt;Belgium
be344;1982;Weerde;Belgium
be345;2000;Antwerpen;Belgium
be346;2018;Antwerpen;Belgium
be347;2020;Antwerpen;Belgium
be348;2030;Antwerpen;Belgium
be349;2040;Antwerpen;Belgium
be350;2040;Berendrecht;Belgium
be351;2040;Lillo;Belgium
be352;2040;Zandvliet;Belgium
be353;2050;Antwerpen;Belgium
be354;2060;Antwerpen;Belgium
be355;2070;Burcht;Belgium
be356;2070;Zwijndrecht;Belgium
be357;2100;Deurne (Antwerpen);Belgium
be358;2110;Wijnegem;Belgium
be359;2140;Borgerhout (Antwerpen);Belgium
be360;2150;Borsbeek (Antw.);Belgium
be361;2160;Wommelgem;Belgium
be362;2170;Merksem (Antwerpen);Belgium
be363;2180;Ekeren (Antwerpen);Belgium
be364;2200;Herentals;Belgium
be365;2200;Morkhoven;Belgium
be366;2200;Noorderwijk;Belgium
be367;2220;Hallaar;Belgium
be368;2220;Heist-op-den-Berg;Belgium
be369;2221;Booischot;Belgium
be370;2222;Itegem;Belgium
be371;2222;Wiekevorst;Belgium
be372;2223;Schriek;Belgium
be373;2230;Herselt;Belgium
be374;2230;Ramsel;Belgium
be375;2235;Houtvenne;Belgium
be376;2235;Hulshout;Belgium
be377;2235;Westmeerbeek;Belgium
be378;2240;Massenhoven;Belgium
be379;2240;Viersel;Belgium
be380;2240;Zandhoven;Belgium
be381;2242;Pulderbos;Belgium
be382;2243;Pulle;Belgium
be383;2250;Olen;Belgium
be384;2260;Oevel;Belgium
be385;2260;Tongerlo (Antw.);Belgium
be386;2260;Westerlo;Belgium
be387;2260;Zoerle-Parwijs;Belgium
be388;2270;Herenthout;Belgium
be389;2275;Gierle;Belgium
be390;2275;Lille;Belgium
be391;2275;Poederlee;Belgium
be392;2275;Wechelderzande;Belgium
be393;2280;Grobbendonk;Belgium
be394;2288;Bouwel;Belgium
be395;2290;Vorselaar;Belgium
be396;2300;Turnhout;Belgium
be397;2310;Rijkevorsel;Belgium
be398;2320;Hoogstraten;Belgium
be399;2321;Meer;Belgium
be400;2322;Minderhout;Belgium
be401;2323;Wortel;Belgium
be402;2328;Meerle;Belgium
be403;2330;Merksplas;Belgium
be404;2340;Beerse;Belgium
be405;2340;Vlimmeren;Belgium
be406;2350;Vosselaar;Belgium
be407;2360;Oud-Turnhout;Belgium
be408;2370;Arendonk;Belgium
be409;2380;Ravels;Belgium
be410;2381;Weelde;Belgium
be411;2382;Poppel;Belgium
be412;2387;Baarle-Hertog;Belgium
be413;2390;Malle;Belgium
be414;2390;Oostmalle;Belgium
be415;2390;Westmalle;Belgium
be416;2400;Mol;Belgium
be417;2430;Eindhout;Belgium
be418;2430;Laakdal;Belgium
be419;2430;Vorst (Kempen);Belgium
be420;2431;Varendonk;Belgium
be421;2431;Veerle;Belgium
be422;2440;Geel;Belgium
be423;2450;Meerhout;Belgium
be424;2460;Kasterlee;Belgium
be425;2460;Lichtaart;Belgium
be426;2460;Tielen;Belgium
be427;2470;Retie;Belgium
be428;2480;Dessel;Belgium
be429;2490;Balen;Belgium
be430;2491;Olmen;Belgium
be431;2500;Koningshooikt;Belgium
be432;2500;Lier;Belgium
be433;2520;Broechem;Belgium
be434;2520;Emblem;Belgium
be435;2520;Oelegem;Belgium
be436;2520;Ranst;Belgium
be437;2530;Boechout;Belgium
be438;2531;Vremde;Belgium
be439;2540;Hove;Belgium
be440;2547;Lint;Belgium
be441;2550;Kontich;Belgium
be442;2550;Waarloos;Belgium
be443;2560;Bevel;Belgium
be444;2560;Kessel;Belgium
be445;2560;Nijlen;Belgium
be446;2570;Duffel;Belgium
be447;2580;Beerzel;Belgium
be448;2580;Putte;Belgium
be449;2590;Berlaar;Belgium
be450;2590;Gestel;Belgium
be451;2600;Berchem (Antwerpen);Belgium
be452;2610;Wilrijk (Antwerpen);Belgium
be453;2620;Hemiksem;Belgium
be454;2627;Schelle;Belgium
be455;2630;Aartselaar;Belgium
be456;2640;Mortsel;Belgium
be457;2650;Edegem;Belgium
be458;2660;Hoboken (Antwerpen);Belgium
be459;2800;Mechelen;Belgium
be460;2800;Walem;Belgium
be461;2801;Heffen;Belgium
be462;2811;Hombeek;Belgium
be463;2811;Leest;Belgium
be464;2812;Muizen (Mechelen);Belgium
be465;2820;Bonheiden;Belgium
be466;2820;Rijmenam;Belgium
be467;2830;Blaasveld;Belgium
be468;2830;Heindonk;Belgium
be469;2830;Tisselt;Belgium
be470;2830;Willebroek;Belgium
be471;2840;Reet;Belgium
be472;2840;Rumst;Belgium
be473;2840;Terhagen;Belgium
be474;2845;Niel;Belgium
be475;2850;Boom;Belgium
be476;2860;Sint-Katelijne-Waver;Belgium
be477;2861;Onze-Lieve-Vrouw-Waver;Belgium
be478;2870;Breendonk;Belgium
be479;2870;Liezele;Belgium
be480;2870;Puurs;Belgium
be481;2870;Ruisbroek (Antw.);Belgium
be482;2880;Bornem;Belgium
be483;2880;Hingene;Belgium
be484;2880;Mariekerke (Bornem);Belgium
be485;2880;Weert;Belgium
be486;2890;Lippelo;Belgium
be487;2890;Oppuurs;Belgium
be488;2890;Sint-Amands;Belgium
be489;2900;Schoten;Belgium
be490;2910;Essen;Belgium
be491;2920;Kalmthout;Belgium
be492;2930;Brasschaat;Belgium
be493;2940;Hoevenen;Belgium
be494;2940;Stabroek;Belgium
be495;2950;Kapellen (Antw.);Belgium
be496;2960;Brecht;Belgium
be497;2960;Sint-Job-in-'t-Goor;Belgium
be498;2960;Sint-Lenaarts;Belgium
be499;2970;s Gravenwezel;Belgium
be500;2970;Schilde;Belgium
be501;2980;Halle (Kempen);Belgium
be502;2980;Zoersel;Belgium
be503;2990;Loenhout;Belgium
be504;2990;Wuustwezel;Belgium
be505;3000;Leuven;Belgium
be506;3001;Heverlee;Belgium
be507;3010;Kessel-Lo (Leuven);Belgium
be508;3012;Wilsele;Belgium
be509;3018;Wijgmaal (Brabant);Belgium
be510;3020;Herent;Belgium
be511;3020;Veltem-Beisem;Belgium
be512;3020;Winksele;Belgium
be513;3040;Huldenberg;Belgium
be514;3040;Loonbeek;Belgium
be515;3040;Neerijse;Belgium
be516;3040;Ottenburg;Belgium
be517;3040;Sint-Agatha-Rode;Belgium
be518;3050;Oud-Heverlee;Belgium
be519;3051;Sint-Joris-Weert;Belgium
be520;3052;Blanden;Belgium
be521;3053;Haasrode;Belgium
be522;3054;Vaalbeek;Belgium
be523;3060;Bertem;Belgium
be524;3060;Korbeek-Dijle;Belgium
be525;3061;Leefdaal;Belgium
be526;3070;Kortenberg;Belgium
be527;3071;Erps-Kwerps;Belgium
be528;3078;Everberg;Belgium
be529;3078;Meerbeek;Belgium
be530;3080;Duisburg;Belgium
be531;3080;Tervuren;Belgium
be532;3080;Vossem;Belgium
be533;3090;Overijse;Belgium
be534;3110;Rotselaar;Belgium
be535;3111;Wezemaal;Belgium
be536;3118;Werchter;Belgium
be537;3120;Tremelo;Belgium
be538;3128;Baal;Belgium
be539;3130;Begijnendijk;Belgium
be540;3130;Betekom;Belgium
be541;3140;Keerbergen;Belgium
be542;3150;Haacht;Belgium
be543;3150;Tildonk;Belgium
be544;3150;Wespelaar;Belgium
be545;3190;Boortmeerbeek;Belgium
be546;3191;Hever;Belgium
be547;3200;Aarschot;Belgium
be548;3200;Gelrode;Belgium
be549;3201;Langdorp;Belgium
be550;3202;Rillaar;Belgium
be551;3210;Linden;Belgium
be552;3210;Lubbeek;Belgium
be553;3211;Binkom;Belgium
be554;3212;Pellenberg;Belgium
be555;3220;Holsbeek;Belgium
be556;3220;Kortrijk-Dutsel;Belgium
be557;3220;Sint-Pieters-Rode;Belgium
be558;3221;Nieuwrode;Belgium
be559;3270;Scherpenheuvel;Belgium
be560;3270;Scherpenheuvel-Zichem;Belgium
be561;3271;Averbode;Belgium
be562;3271;Zichem;Belgium
be563;3272;Messelbroek;Belgium
